List_price,Address,Beds,Baths,Living_sqft,Status,Time on Redfin,Property Type,HOA Dues,Year Built,Est. Mo. Payment,Price/Sq.Ft.,Drought_Score,Walk_score,Neighbourhood_Homes,Transit_score,Groceries_stores,Services,Emergency,Shopping,Food_and_Drink,Schools,Competitive_Score,page_view_count,page_fav_count_30,page_fav_all_time_count,has_supercenter,has_major_indian_grocery,has_major_entertainment,has_indian_restaurant,has_chinese_restaurant,has_mexican_restaurant,has_boba,has_starbucks,property_url,has_healthcare_support,has_mall
"14,48,000","60 Aventura Cmn,Fremont, CA 94536",3.0,2.5,1564.0,,,Single,$279/month,2022.0,"$8,382",$926,,31,5.0,59.0,5,37,6,22,39,[{}],,,,,1,1,1,1,0,1,0,1,https://www.redfin.com//CA/Fremont/60-Aventura-Cmn-94536/home/179273151,0,0
"13,00,000","2772 Meadowlark Dr,Union City, CA 94587",3.0,2.0,1392.0,New,5.0,Single,,1975.0,"$7,274",$934,66.0,49,24.0,55.0,12,50,3,28,66,"[{'Tom Kitayama Elementary School': '7', 'Cesar Chavez Middle School': '4', 'James Logan High School': '8'}]",93.0,,,,1,0,1,1,1,1,1,0,https://www.redfin.com//CA/Union-City/2772-Meadowlark-Dr-94587/home/1025455,0,0
"21,00,000","4696 amiens,Fremont, CA 94555",4.0,2.5,2035.0,,,Single,,1986.0,"$11,751","$1,032",66.0,61,28.0,61.0,11,85,1,20,88,"[{'Ardenwood Elementary School': '7', 'Thornton Junior High School': '7', 'American High School': '9'}]",93.0,"1,453",72.0,77,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/4696-Amiens-Ave-94555/home/2010870,0,0
"14,88,888","35013 Dorchester Ct,Newark, CA 94560",5.0,2.0,1858.0,,,Single,,1969.0,"$8,331",$801,66.0,35,13.0,57.0,15,83,4,20,94,"[{'John F. Kennedy Elementary School': '6', 'Newark Junior High School': '4', 'Newark Memorial High School': '5'}]",93.0,,,,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Newark/35013-Dorchester-Ct-94560/home/951826,0,0
"19,99,999","4706 Jaques Ct,Fremont, CA 94555",5.0,2.5,2238.0,New,5.0,Single,,1986.0,"$11,191",$894,66.0,61,28.0,61.0,11,85,1,19,85,"[{'Ardenwood Elementary School': '7', 'Thornton Junior High School': '7', 'American High School': '9'}]",93.0,"2,085",139.0,9,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/4706-Jaques-Ct-94555/home/1144489,0,0
"12,98,888","4747 Cortez Ave,Fremont, CA 94536",3.0,2.0,1168.0,,,Single,,1956.0,"$7,268","$1,112",66.0,54,13.0,54.0,8,80,2,24,55,"[{'Cabrillo Elementary School': '5', 'Centerville Junior High': '6', 'Washington High School': '7'}]",93.0,"5,269",116.0,140,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/4747-Cortez-Ave-94536/home/1990316,0,0
"14,17,195","45158 Tom Blalock St Unit 106 B4,Fremont, CA 94539",2.0,2.0,1688.0,,,Condo,$572/month,2023.0,"$8,502",$840,66.0,25,3.0,52.0,8,44,19,13,70,"[{'Fred E. Weibel Elementary School': '7', 'James Leitch Elementary School': '-', 'G. M. Walters Junior High School': '6', 'John F. Kennedy High School': '7'}]",92.0,,,,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/45158-Tom-Blalock-St-94539/unit-106-B4/home/179261781,0,1
"14,49,000","442 D St,Fremont, CA 94536",3.0,2.0,1324.0,New,5.0,Single,,1955.0,"$8,108","$1,094",66.0,65,7.0,65.0,5,36,5,18,37,"[{'Niles Elementary School': '8', 'Centerville Junior High': '6', 'Washington High School': '7'}]",90.0,,,,1,1,1,1,0,1,0,0,https://www.redfin.com//CA/Fremont/442-D-St-94536/home/1474743,0,0
"7,99,888","6372 Buena Vista Dr Unit B,Newark, CA 94560",3.0,2.0,1488.0,,,Condo,$385/month,1984.0,"$4,861",$538,66.0,57,9.0,57.0,8,60,1,14,88,"[{'Birch Grove Primary': '-', 'Newark Junior High School': '4', 'Newark Memorial High School': '5'}]",96.0,,,,1,1,1,1,1,1,1,1,https://www.redfin.com//CA/Newark/6372-Buena-Vista-Dr-94560/unit-B/home/1927973,0,1
"11,50,000","4449 Cherrywood Ave,Fremont, CA 94538",3.0,1.0,1381.0,New,5.0,Single,,1959.0,"$6,435",$833,66.0,39,3.0,,4,71,9,17,42,"[{'Harvey Green Elementary School': '7', 'John M. Horner Junior High School': '7', 'Irvington High School': '8'}]",92.0,"2,206",159.0,161,1,0,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/4449-Cherrywood-Ave-94538/home/1113660,0,1
"15,00,000","38620 Canyon Heights Dr,Fremont, CA 94536",4.0,2.0,1822.0,,,Single,,1977.0,"$8,394",$823,66.0,12,3.0,,5,39,5,19,35,"[{'Vallejo Mill Elementary School': '6', 'Centerville Junior High': '6', 'Washington High School': '7'}]",93.0,"2,095",83.0,11,1,1,1,1,0,1,0,1,https://www.redfin.com//CA/Fremont/38620-Canyon-Heights-Dr-94536/home/1470853,0,0
"18,39,000","47465 Mantis St,Fremont, CA 94539",4.0,2.0,1544.0,,,Single,,1969.0,"$10,290","$1,191",66.0,35,5.0,,9,50,14,13,62,"[{'James Leitch Elementary School': '-', 'Warm Springs Elementary School': '9', 'John M. Horner Junior High School': '7', 'Irvington High School': '8'}]",92.0,347,0.0,113,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/47465-Mantis-St-94539/home/1089971,0,1
"7,25,000","3658 Capitol Ave Unit 402A,FREMONT, CA 94538",1.0,1.0,728.0,,,Condo,$544,2019.0,"$4,601",$996,66.0,90,3.0,54.0,14,52,3,20,75,"[{'Brier Elementary School': '6', 'G. M. Walters Junior High School': '6', 'John F. Kennedy High School': '7'}]",,,,,1,1,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/3658-Capitol-Ave-94538/unit-402A/home/168824273,0,0
"14,99,000","36288 Saxon Ct,Newark, CA 94560",4.0,2.5,1453.0,,,Single,,1971.0,"$8,388","$1,032",66.0,19,13.0,,10,73,3,19,65,"[{'John F. Kennedy Elementary School': '6', 'Newark Junior High School': '4', 'Newark Memorial High School': '5'}]",93.0,677,105.0,174,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Newark/36288-Saxon-Ct-94560/home/860305,0,0
"5,99,000","3648 Birchwood Ter #113,FREMONT, CA 94536",2.0,2.0,988.0,,,Condo,$548,1984.0,"$3,900",$606,66.0,85,11.0,62.0,4,77,3,16,45,"[{'Oliveira Elementary School': '7', 'Thornton Junior High School': '7', 'American High School': '9'}]",90.0,,,,1,0,0,1,1,1,1,0,https://www.redfin.com//CA/Fremont/3648-Birchwood-Ter-94536/unit-113/home/1214153,0,0
"5,99,900","3580 Birchwood Ter #206,Fremont, CA 94536",2.0,2.0,1061.0,,,Condo,$548/month,1984.0,"$3,905",$565,66.0,69,11.0,69.0,4,76,3,16,45,"[{'Oliveira Elementary School': '7', 'Thornton Junior High School': '7', 'American High School': '9'}]",90.0,,,,1,0,0,1,1,1,1,0,https://www.redfin.com//CA/Fremont/3580-Birchwood-Ter-94536/unit-206/home/1558678,0,0
"14,99,950","3897 Jersey Rd,Fremont, CA 94538",4.0,2.5,1724.0,,,Single,$44/month,1993.0,"$8,437",$870,66.0,52,3.0,52.0,5,50,9,20,39,"[{'E. M. Grimmer Elementary School': '8', 'John M. Horner Junior High School': '7', 'Irvington High School': '8'}]",92.0,,,,1,0,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/3897-Jersey-Rd-94538/home/1513188,0,1
"14,95,000","2633 Forrest Ct,Fremont, CA 94536",3.0,2.0,1399.0,New,6.0,Single,$59/month,1960.0,"$8,425","$1,069",66.0,58,1.0,58.0,8,38,5,11,54,"[{'Parkmont Elementary School': '8', 'Centerville Junior High': '6', 'Washington High School': '7'}]",95.0,,,,1,1,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/2633-Forrest-Ct-94536/home/1636220,0,0
"8,91,000","34643 Musk Ter,FREMONT, CA 94555",3.0,2.0,1064.0,,,Condo,$335,1987.0,"$5,321",$837,66.0,51,3.0,51.0,13,82,1,20,82,"[{'Forest Park Elementary School': '8', 'Thornton Junior High School': '7', 'American High School': '9'}]",93.0,,,,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/34643-Musk-Ter-94555/home/1143770,0,0
"22,40,000","2585 Cabot Ct,Fremont, CA 94536",5.0,3.0,2670.0,New,6.0,Single,,1977.0,"$12,534",$839,66.0,81,1.0,57.0,8,38,5,11,50,"[{'Parkmont Elementary School': '8', 'Centerville Junior High': '6', 'Washington High School': '7'}]",95.0,"1,828",58.0,297,1,1,1,1,0,1,0,1,https://www.redfin.com//CA/Fremont/2585-Cabot-Ct-94536/home/1061704,0,0
"14,99,950","3754 Ferry Ln,Fremont, CA 94555",3.0,2.0,1451.0,,,Single,,1978.0,"$8,393","$1,034",66.0,72,28.0,63.0,12,69,3,21,83,"[{'Warwick Elementary School': '7', 'Thornton Junior High School': '7', 'American High School': '9'}]",93.0,"1,453",116.0,5,1,0,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/3754-Ferry-Ln-94555/home/1817726,0,1
"12,99,999","63 Blaisdell Way,FREMONT, CA 94536",4.0,2.0,1372.0,,,Single,,1984.0,"$7,274",$948,66.0,31,7.0,52.0,6,46,5,22,39,"[{'Niles Elementary School': '8', 'Centerville Junior High': '6', 'Washington High School': '7'}]",90.0,,,,1,1,0,1,1,1,0,1,https://www.redfin.com//CA/Fremont/63-Blaisdell-Way-94536/home/1926695,0,0
"12,59,000","45188 Tom Blalock St #211,Fremont, CA 94539",2.0,2.0,1782.0,,,Condo,$572/month,2019.0,"$7,617",$707,66.0,27,3.0,51.0,8,46,1,13,64,"[{'Fred E. Weibel Elementary School': '7', 'James Leitch Elementary School': '-', 'G. M. Walters Junior High School': '6', 'John F. Kennedy High School': '7'}]",92.0,386,27.0,28,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/45188-Tom-Blalock-St-94539/unit-211/home/168828161,0,1
"21,99,488","430 Panorama Ct,Fremont, CA 94539",5.0,3.0,2822.0,,,Single,$165/month,2000.0,"$12,473",$779,66.0,42,1.0,,5,74,5,16,52,"[{'Mission San Jose Elementary School': '9', 'William Hopkins Junior High School': '9', 'Mission San Jose High School': '9'}]",93.0,"6,547",536.0,694,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/430-Panorama-Ct-94539/home/1216566,0,1
"19,98,800","43437 Lindenwood St,Fremont, CA 94538",6.0,4.0,2674.0,New,7.0,Single,,1958.0,"$11,185",$747,66.0,45,3.0,51.0,3,44,3,20,29,"[{'Harvey Green Elementary School': '7', 'John M. Horner Junior High School': '7', 'Irvington High School': '8'}]",92.0,,,,1,0,1,0,1,1,1,1,https://www.redfin.com//CA/Fremont/43437-Lindenwood-St-94538/home/1432472,0,1
"12,50,000","38130 Luma Ter,NEWARK, CA 94560",4.0,3.5,2115.0,,,Single,$182,2016.0,"$7,177",$591,66.0,61,40.0,61.0,10,80,4,22,81,"[{'Birch Grove Primary': '-', 'Newark Junior High School': '4', 'Newark Memorial High School': '5'}]",96.0,,,,0,1,1,1,1,1,1,1,https://www.redfin.com//CA/Newark/38130-Luma-Ter-94560/home/95473971,0,1
"29,90,000","1935 Castillejo Way,FREMONT, CA 94539",4.0,3.5,2739.0,Active,7.0,Single,$122,2015.0,"$16,853","$1,092",66.0,49,1.0,,4,72,7,23,42,"[{'Mission Valley Elementary School': '7', 'William Hopkins Junior High School': '9', 'Mission San Jose High School': '9'}]",92.0,"3,315",206.0,6,1,0,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/1935-Castillejo-Way-94539/home/95474035,0,1
"10,25,000","49076 Larkspur Ter,Fremont, CA 94539",2.0,2.0,1119.0,,,Condo,$269/month,2004.0,"$6,005",$916,66.0,64,5.0,64.0,6,63,1,11,45,"[{'James Leitch Elementary School': '-', 'Warm Springs Elementary School': '9', 'John M. Horner Junior High School': '7', 'Irvington High School': '8'}]",92.0,,,,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/49076-Larkspur-Ter-94539/home/2112535,0,1
"22,40,000","2585 Cabot Ct,Fremont, CA 94536",5.0,3.0,2670.0,,,Single,,1977.0,"$12,534",$839,66.0,81,1.0,57.0,8,38,5,11,50,"[{'Parkmont Elementary School': '8', 'Centerville Junior High': '6', 'Washington High School': '7'}]",95.0,"1,828",58.0,297,1,1,1,1,0,1,0,1,https://www.redfin.com//CA/Fremont/2585-Cabot-Ct-94536/home/1061704,0,0
"11,99,900","37908 Bright Cmn,Fremont, CA 94536",3.0,2.5,1717.0,New,6.0,Townhouse,$305/month,1977.0,"$7,019",$699,66.0,54,4.0,54.0,5,58,4,16,43,"[{'Parkmont Elementary School': '8', 'Centerville Junior High': '6', 'Washington High School': '7'}]",90.0,,,,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/37908-Bright-Cmn-94536/home/1061903,0,0
"14,99,950","3754 Ferry Ln,Fremont, CA 94555",3.0,2.0,1451.0,,,Single,,1978.0,"$8,393","$1,034",66.0,72,28.0,63.0,12,69,3,21,83,"[{'Warwick Elementary School': '7', 'Thornton Junior High School': '7', 'American High School': '9'}]",93.0,"1,454",116.0,5,1,0,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/3754-Ferry-Ln-94555/home/1817726,0,1
"12,99,999","63 Blaisdell Way,FREMONT, CA 94536",4.0,2.0,1372.0,,,Single,,1984.0,"$7,274",$948,66.0,31,7.0,52.0,6,46,5,22,39,"[{'Niles Elementary School': '8', 'Centerville Junior High': '6', 'Washington High School': '7'}]",90.0,,,,1,1,0,1,1,1,0,1,https://www.redfin.com//CA/Fremont/63-Blaisdell-Way-94536/home/1926695,0,0
"12,59,000","45188 Tom Blalock St #211,Fremont, CA 94539",2.0,2.0,1782.0,New,7.0,Condo,$572/month,2019.0,"$7,617",$707,66.0,27,3.0,51.0,8,46,1,13,64,"[{'Fred E. Weibel Elementary School': '7', 'James Leitch Elementary School': '-', 'G. M. Walters Junior High School': '6', 'John F. Kennedy High School': '7'}]",92.0,,,,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/45188-Tom-Blalock-St-94539/unit-211/home/168828161,0,1
"21,99,488","430 Panorama Ct,Fremont, CA 94539",5.0,3.0,2822.0,,,Single,$165/month,2000.0,"$12,473",$779,66.0,42,1.0,,5,74,5,16,52,"[{'Mission San Jose Elementary School': '9', 'William Hopkins Junior High School': '9', 'Mission San Jose High School': '9'}]",93.0,,,,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/430-Panorama-Ct-94539/home/1216566,0,1
"19,98,800","43437 Lindenwood St,Fremont, CA 94538",6.0,4.0,2674.0,,,Single,,1958.0,"$11,185",$747,66.0,45,3.0,51.0,3,44,3,20,29,"[{'Harvey Green Elementary School': '7', 'John M. Horner Junior High School': '7', 'Irvington High School': '8'}]",92.0,,,,1,0,1,0,1,1,1,1,https://www.redfin.com//CA/Fremont/43437-Lindenwood-St-94538/home/1432472,0,1
"11,49,000","44819 S Grimmer #1005,Fremont, CA 94538",3.0,3.0,1786.0,,,Townhouse,$402/month,2019.0,"$6,831",$643,66.0,37,1.0,63.0,3,30,2,10,29,"[{'Fred E. Weibel Elementary School': '7', 'E. M. Grimmer Elementary School': '8', 'G. M. Walters Junior High School': '6', 'John F. Kennedy High School': '7'}]",92.0,"1,809",84.0,4,1,0,0,0,1,1,0,1,https://www.redfin.com//CA/Fremont/44819-S-Grimmer-Blvd-94538/unit-1005/home/179246354,0,1
"14,99,000","39142 Declaration St,Fremont, CA 94538",4.0,4.5,2001.0,,,Townhouse,$320/month,2018.0,"$8,708",$749,66.0,90,1.0,54.0,14,52,3,20,77,"[{'Brier Elementary School': '6', 'G. M. Walters Junior High School': '6', 'John F. Kennedy High School': '7'}]",,,,,1,1,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/39142-Declaration-St-94538/home/168824215,0,0
"12,50,000","38130 Luma Ter,NEWARK, CA 94560",4.0,3.5,2115.0,Active,7.0,Single,$182,2016.0,"$7,177",$591,66.0,61,40.0,61.0,10,80,4,22,81,"[{'Birch Grove Primary': '-', 'Newark Junior High School': '4', 'Newark Memorial High School': '5'}]",96.0,"2,939",173.0,13,0,1,1,1,1,1,1,1,https://www.redfin.com//CA/Newark/38130-Luma-Ter-94560/home/95473971,0,1
"29,90,000","1935 Castillejo Way,FREMONT, CA 94539",4.0,3.5,2739.0,Active,7.0,Single,$122,2015.0,"$16,853","$1,092",66.0,49,1.0,,4,72,7,23,42,"[{'Mission Valley Elementary School': '7', 'William Hopkins Junior High School': '9', 'Mission San Jose High School': '9'}]",92.0,"3,316",206.0,6,1,0,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/1935-Castillejo-Way-94539/home/95474035,0,1
"7,45,000","38627 Cherry Ln #8,Fremont, CA 94536",3.0,1.5,1189.0,Active,7.0,Townhouse,$435/month,1974.0,"$4,604",$627,66.0,27,6.0,54.0,3,34,6,21,35,"[{'Vallejo Mill Elementary School': '6', 'Centerville Junior High': '6', 'Washington High School': '7'}]",,,,,1,1,1,1,0,1,0,1,https://www.redfin.com//CA/Fremont/38627-Cherry-Ln-94536/unit-8/home/1814542,0,0
"10,25,000","49076 Larkspur Ter,Fremont, CA 94539",2.0,2.0,1119.0,Active,7.0,Condo,$269/month,2004.0,"$6,005",$916,66.0,64,5.0,64.0,6,63,1,11,45,"[{'James Leitch Elementary School': '-', 'Warm Springs Elementary School': '9', 'John M. Horner Junior High School': '7', 'Irvington High School': '8'}]",92.0,,,,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/49076-Larkspur-Ter-94539/home/2112535,0,1
"19,99,888","34192 Finnigan Ter,Fremont, CA 94555-3824",4.0,3.0,2102.0,,,Single,$43/month,1990.0,"$11,234",$951,66.0,13,28.0,,11,87,1,18,88,"[{'Forest Park Elementary School': '8', 'Thornton Junior High School': '7', 'American High School': '9'}]",93.0,"3,085",170.0,192,1,0,0,1,1,1,1,1,https://www.redfin.com//CA/Fremont/34192-Finnigan-Ter-94555/home/2010137,0,0
"7,88,000","5634 Impatiens Cmn,FREMONT, CA 94538",3.0,2.5,1118.0,,,Townhouse,$320,1994.0,"$4,729",$705,66.0,52,3.0,52.0,5,52,1,19,63,"[{'Steven Millard Elementary School': '7', 'G. M. Walters Junior High School': '6', 'John F. Kennedy High School': '7'}]",90.0,"5,819",300.0,348,1,1,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/5634-Impatiens-Cmn-94538/home/742690,0,1
"18,88,800","521 Emerson St,Fremont, CA 94539",3.0,2.0,1700.0,,,Single,,1955.0,"$10,569","$1,111",66.0,56,6.0,56.0,2,66,7,18,32,"[{'Joshua Chadbourne Elementary School': '8', 'William Hopkins Junior High School': '9', 'Mission San Jose High School': '9'}]",92.0,,,,1,0,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/521-Emerson-St-94539/home/1666368,0,1
"9,98,000","5527 Azalea Way,Newark, CA 94560",3.0,3.0,1540.0,,,Townhouse,$273/month,2016.0,"$5,857",$648,66.0,58,5.0,58.0,9,79,4,19,69,"[{'Birch Grove Intermediate': '6', 'Newark Junior High School': '4', 'Newark Memorial High School': '5'}]",96.0,"3,402",147.0,148,0,1,1,1,1,1,1,1,https://www.redfin.com//CA/Newark/5527-Azalea-Way-94560/home/143115530,0,1
"17,00,000","35228 Erving Ct,Fremont, CA 94536",3.0,2.0,1579.0,,,Single,,1972.0,"$9,513","$1,077",66.0,34,3.0,52.0,13,83,2,23,94,"[{'Brookvale Elementary School': '7', 'Thornton Junior High School': '7', 'American High School': '9'}]",95.0,,,,1,0,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/35228-Erving-Ct-94536/home/1115167,0,1
"4,49,000","38612 Country Ter,FREMONT, CA 94536",1.0,1.0,723.0,,,Condo,$301,1979.0,"$2,813",$621,66.0,76,11.0,52.0,8,44,4,14,58,"[{'Tom Maloney Elementary School': '8', 'Centerville Junior High': '6', 'Washington High School': '7'}]",90.0,"2,100",71.0,2,1,1,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/38612-Country-Ter-94536/home/28442262,0,0
"16,00,000","4789 Calaveras Ave,Fremont, CA 94538",3.0,2.0,1358.0,Active,7.0,Single,,1959.0,"$8,953","$1,178",66.0,68,6.0,68.0,15,77,2,26,84,"[{'Joseph Azevada Elementary School': '8', 'G. M. Walters Junior High School': '6', 'John F. Kennedy High School': '7'}]",91.0,,,,1,1,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/4789-Calaveras-Ave-94538/home/2021008,0,1
"15,49,000","1150 Bennett Ct,Fremont, CA 94536",4.0,2.5,1785.0,Active,7.0,Single,,1977.0,"$8,668",$868,66.0,30,1.0,51.0,6,39,6,21,45,"[{'Parkmont Elementary School': '8', 'Centerville Junior High': '6', 'Washington High School': '7'}]",95.0,,,,1,1,1,1,0,1,0,1,https://www.redfin.com//CA/Fremont/1150-Bennett-Ct-94536/home/897828,0,0
"26,98,000","2045 Castillejo Way,Fremont, CA 94539",5.0,3.5,2484.0,Active,7.0,Single,,1979.0,"$15,097","$1,086",66.0,50,1.0,50.0,3,75,10,23,44,"[{'Mission Valley Elementary School': '7', 'William Hopkins Junior High School': '9', 'Mission San Jose High School': '9'}]",92.0,,,,1,0,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/2045-Castillejo-Way-94539/home/1712303,0,1
"15,00,000","38053 Davy Ct,Fremont, CA 94536",3.0,2.5,1494.0,Active,7.0,Single,,1963.0,"$8,394","$1,004",66.0,31,1.0,65.0,6,49,5,11,44,"[{'Parkmont Elementary School': '8', 'Centerville Junior High': '6', 'Washington High School': '7'}]",95.0,,,,1,1,1,1,1,1,1,1,https://www.redfin.com//CA/Fremont/38053-Davy-Ct-94536/home/938989,0,0
